T,rho 0,rho 0.5
5.08004,4.01579,0.00749
5.25078,3.94804,0.00748
5.44948,3.86839,0.00746
5.64925,3.789,0.00745
5.85228,3.70828,0.00743
6.05179,3.62753,0.00742
6.25593,3.54741,0.00741
6.45175,3.46823,0.00739
6.65032,3.38999,0.00738
6.85197,3.31189,0.00736
7.05147,3.23546,0.00735
7.25094,3.15974,0.00733
7.45261,3.0856,0.00732
7.6525,3.01296,0.0073
7.85125,2.94206,0.00729
8.05187,2.87155,0.00727
8.25017,2.8037,0.00726
8.45004,2.73711,0.00724
8.65128,2.67209,0.00723
8.8538,2.60833,0.00721
9.05211,2.54697,0.0072
9.25167,2.48753,0.00718
9.45038,2.42991,0.00717
9.6496,2.3738,0.00715
9.85292,2.31904,0.00714
10.0491,2.26677,0.00712
10.25129,2.21483,0.00711
10.45044,2.16535,0.00709
10.65059,2.11742,0.00708
10.85258,2.0705,0.00706
11.05127,2.02535,0.00705
11.25295,1.98192,0.00703
11.45123,1.93962,0.00702
11.64871,1.89928,0.00701
11.85128,1.85955,0.00699
12.05027,1.8218,0.00698
12.25396,1.78465,0.00696
12.45133,1.74927,0.00695
12.64832,1.71528,0.00694
12.85109,1.68161,0.00692
13.05059,1.64967,0.00691
13.25197,1.61823,0.00689
13.44878,1.58885,0.00688
13.64968,1.55966,0.00687
13.84836,1.53152,0.00685
14.05212,1.5039,0.00684
14.25409,1.47745,0.00683
14.45151,1.45219,0.00681
14.64987,1.42779,0.0068
14.85229,1.40384,0.00679
14.98961,1.3874,0.00678
15.33277,1.34972,0.00676
15.4467,1.3371,0.00675
15.82535,1.29883,0.00673
15.89212,1.29128,0.00672
16.05075,1.27652,0.00671
16.2507,1.25726,0.0067
16.45503,1.23839,0.00669
16.65081,1.22082,0.00668
16.85253,1.20321,0.00666
17.05058,1.18597,0.00665
17.25243,1.16957,0.00664
17.45027,1.15381,0.00663
17.64937,1.13846,0.00662
17.85001,1.12339,0.0066
18.05021,1.10888,0.00659
18.25063,1.09472,0.00658
18.4507,1.08093,0.00657
18.65038,1.06761,0.00656
18.85247,1.05455,0.00655
19.04997,1.04217,0.00654
19.25149,1.02981,0.00653
19.45017,1.01806,0.00652
19.65079,1.00642,0.0065
20.01938,0.98571,0.00649
19.99894,0.98653,0.00649
20.21351,0.97719,0.00648
21.26112,0.92496,0.00642
22.2619,0.88188,0.00637
23.2692,0.84315,0.00633
24.26276,0.80989,0.00628
25.24724,0.77955,0.00624
26.25196,0.75215,0.0062
27.25259,0.72775,0.00616
28.25561,0.70534,0.00612
29.2506,0.68543,0.00609
30.25656,0.66706,0.00605
31.25897,0.65036,0.00602
32.24955,0.63532,0.00599
33.25201,0.6213,0.00596
34.25188,0.60853,0.00593
35.25902,0.59642,0.0059
36.25429,0.58567,0.00587
37.25703,0.57535,0.00585
38.25027,0.566,0.00582
39.2593,0.55709,0.0058
40.27694,0.54865,0.00578
41.25996,0.54105,0.00576
42.25358,0.53379,0.00574
43.26501,0.52683,0.00572
44.25684,0.5204,0.0057
45.25424,0.51422,0.00568
46.25331,0.50842,0.00566
47.2541,0.50283,0.00564
48.24967,0.49755,0.00563
49.25275,0.49247,0.00561
50.08839,0.48831,0.0056
50.21721,0.48748,0.0056
52.48746,0.4782,0.00557
54.48787,0.46983,0.00554
56.48668,0.46184,0.00552
58.49976,0.45417,0.00549
60.48552,0.447,0.00547
62.48342,0.44002,0.00545
64.48906,0.43324,0.00543
66.48753,0.42663,0.00542
68.48648,0.42019,0.0054
70.52228,0.41362,0.00539
72.50232,0.40735,0.00537
74.50845,0.40106,0.00536
76.49827,0.39477,0.00535
78.5005,0.3885,0.00534
80.5021,0.38219,0.00533
82.49303,0.376,0.00532
84.50109,0.36968,0.00531
86.54364,0.36324,0.0053
88.53596,0.35699,0.00529
90.50644,0.35065,0.00528
92.49457,0.34437,0.00528
94.50883,0.33792,0.00527
96.49427,0.33163,0.00526
98.50026,0.32521,0.00526
100.0159,0.31812,0.00525
100.15057,0.31775,0.00525
102.43459,0.31222,0.00525
104.48651,0.30593,0.00524
106.4984,0.2996,0.00524
108.4933,0.29336,0.00523
110.5081,0.28704,0.00523
112.50576,0.28082,0.00523
114.50784,0.27464,0.00522
116.49961,0.2685,0.00522
118.50673,0.26237,0.00522
120.50047,0.25636,0.00521
122.50125,0.25037,0.00521
124.49946,0.24451,0.00521
126.50078,0.23871,0.0052
128.51965,0.2329,0.0052
130.51555,0.22734,0.0052
132.49191,0.22186,0.00519
134.50177,0.21641,0.00519
136.49699,0.21116,0.00519
138.49846,0.20596,0.00518
140.48867,0.20094,0.00518
142.51035,0.19597,0.00518
144.49835,0.19116,0.00518
146.50617,0.18644,0.00517
148.50207,0.18189,0.00517
150.49532,0.17744,0.00517
152.5192,0.17305,0.00516
154.5239,0.16879,0.00516
156.52102,0.16466,0.00516
158.49351,0.16074,0.00515
160.531,0.1568,0.00515
162.51772,0.15301,0.00515
164.52949,0.14929,0.00514
166.5207,0.14576,0.00514
168.51754,0.14232,0.00514
170.50484,0.13899,0.00513
172.50799,0.13577,0.00513
174.51056,0.1326,0.00512
176.51775,0.12956,0.00512
178.52115,0.12662,0.00511
180.505,0.12377,0.00511
182.50299,0.121,0.00511
184.50672,0.11833,0.0051
186.51196,0.11572,0.0051
188.51495,0.11323,0.00509
190.49533,0.11082,0.00508
192.50971,0.10848,0.00508
194.50669,0.10622,0.00507
196.52246,0.10402,0.00507
198.50216,0.10194,0.00506
200.49964,0.0999,0.00505
202.50548,0.0979,0.00505
204.51143,0.096,0.00504
206.50939,0.09416,0.00503
208.50004,0.0924,0.00503
210.50225,0.09066,0.00502
212.50449,0.089,0.00501
214.49705,0.0874,0.005
216.51154,0.08585,0.005
218.50322,0.08435,0.00499
220.50008,0.0828,0.00498
222.49115,0.08143,0.00497
224.50513,0.08006,0.00496
226.49366,0.07876,0.00495
228.51353,0.0775,0.00495
230.49755,0.07628,0.00494
232.50958,0.07507,0.00493
234.49327,0.07392,0.00492
236.48688,0.07283,0.00491
238.52873,0.07173,0.0049
240.5004,0.07071,0.00488
242.49675,0.06971,0.00487
244.49915,0.06876,0.00486
246.49417,0.06782,0.00485
248.49876,0.0669,0.00484
250.50684,0.06603,0.00483
252.50393,0.06519,0.00481
254.5103,0.06436,0.0048
256.49767,0.06357,0.00479
258.50051,0.06281,0.00477
260.51321,0.06206,0.00476
262.51437,0.06135,0.00475
264.50255,0.06066,0.00473
266.507,0.06,0.00472
268.50415,0.05936,0.0047
270.49255,0.05875,0.00469
272.49805,0.05817,0.00467
274.51232,0.05762,0.00465
276.49251,0.05711,0.00464
278.50988,0.05662,0.00462
280.49299,0.05616,0.0046
282.49473,0.05573,0.00458
284.51017,0.05532,0.00456
286.49272,0.05495,0.00454
288.51093,0.05462,0.00451
290.52042,0.05435,0.00449
292.52127,0.05408,0.00447
294.50319,0.05382,0.00445
296.50084,0.05363,0.00442
298.50786,0.05344,0.0044
300.51799,0.0532,0.00439
302.5026,0.05289,0.00437
304.50889,0.05263,0.00436
306.50102,0.05231,0.00434
308.49523,0.05199,0.00433
310.49864,0.05163,0.00432
312.50864,0.05138,0.0043
314.50686,0.05109,0.00429
316.50712,0.05083,0.00428
318.49357,0.05065,0.00426
320.49688,0.05046,0.00425
322.50898,0.05044,0.00423
324.48734,0.05014,0.00422
326.50952,0.04986,0.0042
328.50841,0.04958,0.00419
330.49213,0.04929,0.00417
332.4993,0.04906,0.00415
334.50336,0.04875,0.00413
336.48757,0.04852,0.00411
338.48869,0.04826,0.00409
340.51887,0.048,0.00407
342.51751,0.0478,0.00405
344.49977,0.04767,0.00404
346.50123,0.04743,0.00402
348.49454,0.04719,0.004
350.00911,0.04687,0.00399
