ID,DATE1,TIME1,BATCHNO,RECEIPENAME,ACKPOSITIONCH1,ACKPOSITIONCH2,ACKPOSITIONCH3,ACKPOSITIONCH4,ACKPOSITIONCH5,ACKPOSITIONCH6,ACKPOSITIONCH7,ACKPOSITIONCH8,HYDPRESSURE1,HYDPRESSURE2,HYDPRESSURE3,HYDPRESSURE4,HYDPRESSURE5,HYDPRESSURE6,HYDPRESSURE7,HYDPRESSURE8,VOLTAGE,ICURRENT,POWER,POWERSPARE1,CWTZ01,CWTZ02,CWTZ03,CWTZ04,CWTZ05,CWTZ06,CWTZ07,CWTZ08,ANVILTEMPZ01,ANVILTEMPZ02,ANVILTEMPZ03,ANVILTEMPZ04,ANVILTEMPZ05,ANVILTEMPZ06,ANVILTEMPZ07,ANVILTEMPZ08,POSWZ01,POSWZ02,POSWZ03,POSWZ04,POSWZ05,POSWZ06,POSWZ07,POSWZ08,PRESWZ01,PRESWZ02,PRESWZ03,PRESWZ04,PRESWZ05,PRESWZ06,PRESWZ07,PRESWZ08,COOLWZ01,COOLWZ02,COOLWZ03,COOLWZ04,COOLWZ05,COOLWZ06,COOLWZ07,COOLWZ08,ANILTEMPWZ01,ANILTEMPWZ02,ANILTEMPWZ03,ANILTEMPWZ04,ANILTEMPWZ05,ANILTEMPWZ06,ANILTEMPWZ07,ANILTEMPWZ08,ACKKW,ACKKWH,RECORDREF,OPERATORNAME,STIMEMINTOTAL,STIMEHH,STIMEMM,STIMESS,ACKSTEPNO,SERVOPRESSURESSET,SERVOFLOWSET,FRONTPOSITIONSET,REARPOSITIONSET,LEFTPOSITIONSET,RIGHTPOSITIONSET,TOPPOSITIONSET,BOTTOMPOSITIONSET,DOWELSET,ACKTOTTIMEDAYS,ACKTOTALTIMEHH,ACKTOTALTIMEMM,ACKTOTALTIMESS,TOTCOUNTERTIMESS,AVGCURRENT,AVGVOLTAGE,TOTKW,TOTKVA,TOTKWH,BATCHKWH,DOWELACK1,DOWELSET1
1857433,2024-11-19,12:50:07.5900000,PP_GREEN_1_19/11/2024,BHIPL001,-50.08,-0.05,-0.02,-67.11,-0.05,-0.21,96.51,110.54,0.00,0.36,0.00,0.01,-0.11,0.16,0.07,222.79,0.07,6.30,30.60,278.91,29.60,29.20,29.50,29.40,30.30,30.20,586.30,995.90,29.80,29.90,29.80,29.40,30.50,30.20,5.90,3.70,Low,Okay,Okay,Low,Okay,Low,Low,Okay,Okay,Okay,Okay,Okay,Okay,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.18,553.85,20241119-12,barani,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,0,0,1,404,0,0,554,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
1857434,2024-11-19,12:50:07.6700000,PP_GREEN_1_19/11/2024,BHIPL001,-50.08,-0.05,-0.02,-67.11,-0.05,-0.21,96.51,110.54,0.00,0.36,0.00,0.01,-0.11,0.16,0.07,222.79,0.07,6.30,30.60,278.91,29.60,29.20,29.50,29.40,30.30,30.20,586.30,995.90,29.80,29.90,29.80,29.40,30.50,30.20,5.90,3.70,Low,Okay,Okay,Low,Okay,Low,Low,Okay,Okay,Okay,Okay,Okay,Okay,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.18,553.85,20241119-12,barani,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,0,103,1,404,0,0,554,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
1857435,2024-11-19,12:50:07.7266667,PP_GREEN_1_19/11/2024,BHIPL001,-50.08,-0.05,-0.02,-67.11,-0.05,-0.22,96.51,110.54,0.00,0.36,0.00,0.01,-0.11,0.16,0.07,222.79,0.07,6.30,30.60,278.91,29.60,29.20,29.50,29.40,30.30,30.20,586.30,995.90,29.80,29.90,29.80,29.40,30.50,30.20,5.90,3.70,Low,Okay,Okay,Low,Okay,Low,Low,Okay,Okay,Okay,Okay,Okay,Okay,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.18,553.85,20241119-12,barani,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,0,0,1,404,0,0,554,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
1857436,2024-11-19,12:50:08.1466667,PP_GREEN_1_19/11/2024,BHIPL001,-50.08,-0.05,-0.02,-67.11,-0.05,-0.21,96.51,110.54,0.00,0.36,0.00,0.01,-0.11,0.16,0.07,222.79,0.07,6.30,30.60,278.91,29.60,29.20,29.50,29.40,30.30,30.20,586.30,995.90,29.80,29.90,29.80,29.40,30.50,30.20,5.90,3.70,Low,Okay,Okay,Low,Okay,Low,Low,Okay,Okay,Okay,Okay,Okay,Okay,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.18,553.85,20241119-12,barani,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,0,103,1,404,0,0,554,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
1857437,2024-11-19,12:50:08.2733333,PP_GREEN_1_19/11/2024,BHIPL001,-50.08,-0.05,-0.02,-67.11,-0.05,-0.22,96.51,110.54,0.00,0.36,0.00,0.01,-0.11,0.16,0.07,222.79,0.07,6.30,30.60,278.91,29.60,29.20,29.50,29.40,30.30,30.20,586.30,995.90,29.80,29.90,29.80,29.40,30.50,30.20,5.90,3.70,Low,Okay,Okay,Low,Okay,Low,Low,Okay,Okay,Okay,Okay,Okay,Okay,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.18,553.85,20241119-12,barani,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,0,0,1,404,0,0,554,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
1857438,2024-11-19,12:50:11.4633333,PP_GREEN_1_19/11/2024,BHIPL001,-50.08,-0.05,-0.02,-67.11,-0.05,-0.22,96.51,110.54,0.00,0.42,0.00,0.02,-0.13,0.14,0.08,222.79,0.07,6.26,41.02,278.91,29.80,29.40,29.50,29.40,30.10,30.10,627.10,996.10,29.80,29.90,29.80,29.40,30.50,30.20,5.50,4.80,Low,Okay,Okay,Low,Okay,Low,Low,Okay,Okay,Okay,Okay,Okay,Okay,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.18,553.85,20241119-12,barani,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,0,106,1,404,0,0,554,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
1857439,2024-11-19,12:50:11.5500000,PP_GREEN_1_19/11/2024,BHIPL001,-50.08,-0.05,-0.02,-67.11,-0.05,-0.21,96.51,110.54,0.00,0.39,0.00,0.03,-0.09,0.15,0.08,222.79,0.07,6.34,37.11,278.91,29.80,29.40,29.50,29.40,30.10,30.10,639.70,1003.60,29.80,29.80,29.80,29.40,30.50,30.20,4.70,6.20,Low,Okay,Okay,Low,Okay,Low,Low,Okay,Okay,Okay,Okay,Okay,Okay,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.18,553.85,20241119-12,barani,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,0,0,1,403,0,0,554,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
1857440,2024-11-19,12:50:13.3566667,PP_GREEN_1_19/11/2024,BHIPL001,-50.08,-0.05,-0.02,-67.11,-0.05,-0.21,96.51,110.54,0.00,0.37,0.00,0.05,-0.06,0.14,0.08,222.79,0.07,6.26,36.46,278.91,29.80,29.40,29.50,29.50,30.10,30.10,672.00,1007.50,29.80,29.90,29.90,29.50,30.50,30.20,5.70,6.40,Low,Okay,Okay,Low,Okay,Low,Low,Okay,Okay,Okay,Okay,Okay,Okay,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.18,553.85,20241119-12,barani,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,0,108,1,403,0,0,554,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
1857441,2024-11-19,12:50:13.5066667,PP_GREEN_1_19/11/2024,BHIPL001,-50.08,-0.05,-0.02,-67.11,-0.05,-0.22,96.51,110.54,0.00,0.37,0.00,0.05,-0.06,0.14,0.08,222.79,0.07,6.26,36.46,278.91,29.80,29.40,29.50,29.50,30.10,30.10,672.00,1007.50,29.80,29.90,29.90,29.50,30.50,30.20,5.70,6.40,Low,Okay,Okay,Low,Okay,Low,Low,Okay,Okay,Okay,Okay,Okay,Okay,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.18,553.85,20241119-12,barani,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,0,0,1,403,0,0,554,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
1857442,2024-11-19,12:50:14.6333333,PP_GREEN_1_19/11/2024,BHIPL001,-50.08,-0.05,-0.02,-67.11,-0.05,-0.22,96.51,110.54,0.00,0.41,0.00,0.06,-0.07,0.14,0.09,222.79,0.07,6.26,34.51,278.91,29.80,29.40,29.50,29.40,30.10,30.10,739.20,1015.00,29.80,29.90,29.90,29.50,30.50,30.20,4.70,6.30,Low,Okay,Okay,Low,Okay,Low,Low,Okay,Okay,Okay,Okay,Okay,Okay,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.18,553.85,20241119-12,barani,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,0,109,1,403,0,0,554,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
