Timestamp,Pressure (bar),Voltage (V)
2024-07-24 14:05:47,0,2.27946538125
2024-07-24 14:05:52,5,2.15836905
2024-07-24 14:05:57,10,2.2337372225
2024-07-24 14:06:01,15,2.3124457575
2024-07-24 14:06:06,20,2.42676231
2024-07-24 14:06:11,25,2.5296519825
2024-07-24 14:06:15,30,2.63423762625
2024-07-24 14:06:20,35,2.7279376324999998
2024-07-24 14:06:25,40,2.82430490875
2024-07-24 14:06:30,45,2.93264505125
2024-07-24 14:06:34,50,3.1785546249999994
2024-07-24 14:06:39,55,2.32881980125
2024-07-24 14:06:44,60,1.80679219
2024-07-24 14:06:49,65,1.232441117375
2024-07-24 14:06:54,70,0.576726295875
2024-07-24 14:06:59,75,0.6796396
2024-07-24 14:07:06,80,0.611986843125
2024-07-24 14:07:11,85,3.5455753341249996
2024-07-24 14:07:16,90,4.181240285
2024-07-24 14:07:20,95,4.0959732012500005
2024-07-24 14:07:25,100,4.07394747625
2024-07-24 14:07:30,105,4.1076831062500005
2024-07-24 14:07:34,110,4.2814665975
2024-07-24 14:07:39,115,4.437329688749999
2024-07-24 14:07:44,120,4.5755054725
2024-07-24 14:07:49,125,4.70599832875
2024-07-24 14:07:53,130,4.837330863749999
2024-07-24 14:08:36,0,4.922927145
2024-07-24 14:08:39,5,4.9229409925
2024-07-24 14:08:42,10,4.922939865
2024-07-24 14:08:45,15,4.92294256
2024-07-24 14:08:48,20,4.9218388950000005
2024-07-24 14:08:51,25,4.922963837499999
2024-07-24 14:08:54,30,4.922931025
2024-07-24 14:08:57,35,4.9229268475
2024-07-24 14:09:00,40,4.922975592499999
2024-07-24 14:09:03,45,4.9229594924999995
2024-07-24 14:09:05,50,4.922962295
2024-07-24 14:09:08,55,4.922978984999999
2024-07-24 14:09:11,60,4.92299013
2024-07-24 14:09:14,65,4.9229869175
2024-07-24 14:09:17,70,4.922986255
2024-07-24 14:09:20,75,4.922991854999999
2024-07-24 14:09:23,80,4.922992985
2024-07-24 14:09:26,85,4.92299382
2024-07-24 14:09:28,90,4.922997394999999
2024-07-24 14:09:39,0,4.922997985
2024-07-24 14:09:42,5,4.9229985875
2024-07-24 14:09:45,10,4.9230031
2024-07-24 14:09:48,15,4.92300706
2024-07-24 14:09:51,20,4.9230084524999995
2024-07-24 14:09:53,25,4.9230097375
2024-07-24 14:09:57,30,4.92301194
2024-07-24 14:09:59,35,4.923012345
2024-07-24 14:10:02,40,4.92300947
2024-07-24 14:10:05,45,4.923006015
2024-07-24 14:10:08,50,4.923005265
2024-07-24 14:10:11,55,4.923007095
2024-07-24 14:10:14,60,4.9230134625
2024-07-24 14:10:17,65,4.92301803
2024-07-24 14:10:19,70,4.92301971
2024-07-24 14:10:22,75,4.9230275175000004
2024-07-24 14:10:25,80,4.92303792
2024-07-24 14:10:28,85,4.92304646
2024-07-24 14:10:31,90,4.923047927500001
2024-07-24 14:10:34,95,4.923045535
2024-07-24 14:10:37,100,4.9230492425
2024-07-24 14:10:40,105,4.92304966
2024-07-24 14:10:42,110,4.923045910000001
2024-07-24 14:11:04,0,4.92305784
