ID,DATE1,TIME1,BATCHNO,RECEIPENAME,ACKPOSITIONCH1,ACKPOSITIONCH2,ACKPOSITIONCH3,ACKPOSITIONCH4,ACKPOSITIONCH5,ACKPOSITIONCH6,ACKPOSITIONCH7,ACKPOSITIONCH8,HYDPRESSURE1,HYDPRESSURE2,HYDPRESSURE3,HYDPRESSURE4,HYDPRESSURE5,HYDPRESSURE6,HYDPRESSURE7,HYDPRESSURE8,VOLTAGE,ICURRENT,POWER,POWERSPARE1,CWTZ01,CWTZ02,CWTZ03,CWTZ04,CWTZ05,CWTZ06,CWTZ07,CWTZ08,ANVILTEMPZ01,ANVILTEMPZ02,ANVILTEMPZ03,ANVILTEMPZ04,ANVILTEMPZ05,ANVILTEMPZ06,ANVILTEMPZ07,ANVILTEMPZ08,POSWZ01,POSWZ02,POSWZ03,POSWZ04,POSWZ05,POSWZ06,POSWZ07,POSWZ08,PRESWZ01,PRESWZ02,PRESWZ03,PRESWZ04,PRESWZ05,PRESWZ06,PRESWZ07,PRESWZ08,COOLWZ01,COOLWZ02,COOLWZ03,COOLWZ04,COOLWZ05,COOLWZ06,COOLWZ07,COOLWZ08,ANILTEMPWZ01,ANILTEMPWZ02,ANILTEMPWZ03,ANILTEMPWZ04,ANILTEMPWZ05,ANILTEMPWZ06,ANILTEMPWZ07,ANILTEMPWZ08,ACKKW,ACKKWH,RECORDREF,OPERATORNAME,STIMEMINTOTAL,STIMEHH,STIMEMM,STIMESS,ACKSTEPNO,SERVOPRESSURESSET,SERVOFLOWSET,FRONTPOSITIONSET,REARPOSITIONSET,LEFTPOSITIONSET,RIGHTPOSITIONSET,TOPPOSITIONSET,BOTTOMPOSITIONSET,DOWELSET,ACKTOTTIMEDAYS,ACKTOTALTIMEHH,ACKTOTALTIMEMM,ACKTOTALTIMESS,TOTCOUNTERTIMESS,AVGCURRENT,AVGVOLTAGE,TOTKW,TOTKVA,TOTKWH,BATCHKWH,DOWELACK1,DOWELSET1
2872772,2025-02-11,17:00:45.8300000,CHN_A_PYRO_14MM_COMPRESS_STEST_11_02_25,BHIPL001,-0.78,-0.10,-0.11,-0.83,-1.08,0.05,96.51,110.54,0.29,0.00,0.00,0.14,-0.41,0.00,0.00,222.79,0.07,5.93,26.04,278.91,29.80,29.20,29.20,29.00,29.60,29.70,819.10,999.40,544.70,29.30,29.30,121.70,225.10,292.00,1742.50,3276.70,Low,Okay,Low,Low,Low,Okay,Okay,Okay,Okay,Okay,Okay,Okay,Okay,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,High,Low,Low,Low,High,High,Low,Okay,0.18,705.05,20250211-17,barani,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,1,1,404,0,0,705,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M: 2S"
2872773,2025-02-11,17:00:46.6766667,CHN_A_PYRO_14MM_COMPRESS_STEST_11_02_25,BHIPL001,-0.78,-0.10,-0.11,-0.83,-1.01,0.05,96.51,110.54,0.33,0.00,0.00,0.05,1.10,0.00,0.25,222.79,0.07,5.93,24.09,278.91,29.80,29.20,29.20,29.00,29.60,29.70,785.80,1058.00,545.90,29.30,29.30,115.70,221.30,307.30,1709.30,3276.70,Low,Okay,Okay,Low,Low,High,Okay,Okay,Low,Low,Low,Low,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,High,Low,Low,Low,High,High,Low,Okay,0.20,705.05,20250211-17,barani,0.00,0.00,0.00,0.00,1.00,1.00,1.00,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0,0,0,0,1,2,1,403,0,1,705,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M: 5S"
2872774,2025-02-11,17:00:47.6266667,CHN_A_PYRO_14MM_COMPRESS_STEST_11_02_25,BHIPL001,-0.78,-0.10,-0.11,-0.82,-1.02,0.05,96.51,110.54,0.27,0.00,0.00,0.10,1.00,0.00,0.23,222.79,0.07,5.93,26.69,278.91,29.90,29.20,29.20,29.10,29.70,29.90,730.60,1138.40,545.40,29.30,29.30,113.20,212.70,312.90,1700.80,3276.70,Low,Okay,Okay,Low,Low,High,Okay,Okay,Low,Low,Low,Low,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,High,Low,Low,Low,High,High,Low,Okay,0.21,705.05,20250211-17,barani,0.00,0.00,0.00,0.00,1.00,1.00,1.00,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0,0,0,0,2,3,1,403,0,0,705,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M: 5S"
2872775,2025-02-11,17:00:48.6066667,CHN_A_PYRO_14MM_COMPRESS_STEST_11_02_25,BHIPL001,-0.78,-0.10,-0.11,-0.83,-0.75,0.05,96.51,110.54,0.29,0.00,0.00,0.07,0.98,0.00,0.22,222.79,0.07,5.90,24.74,278.91,29.80,29.20,29.20,29.10,29.70,29.90,719.30,1200.90,541.20,29.30,29.30,118.60,219.60,296.70,1739.00,3276.70,Low,Okay,Okay,Low,Low,High,Okay,Okay,Low,Low,Low,Low,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,High,Low,Low,Low,High,High,Low,Okay,0.21,705.05,20250211-17,barani,0.00,0.00,0.00,0.00,1.00,1.00,1.00,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0,0,0,0,3,4,1,404,0,0,705,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M: 5S"
2872776,2025-02-11,17:00:49.6133333,CHN_A_PYRO_14MM_COMPRESS_STEST_11_02_25,BHIPL001,-0.78,-0.10,-0.11,-0.83,-0.40,0.04,96.51,110.54,0.30,0.00,0.00,0.11,1.09,0.00,0.25,222.79,0.07,5.93,26.04,278.91,29.80,29.20,29.20,29.00,29.70,29.90,768.50,1205.20,539.70,29.30,29.30,118.40,230.60,293.30,1750.10,3276.70,Low,Okay,Okay,Low,Low,High,Okay,Okay,Low,Low,Low,Low,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,High,Low,Low,Low,High,High,Low,Okay,0.21,705.05,20250211-17,barani,0.00,0.00,0.00,0.00,1.00,1.00,1.00,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0,0,0,0,4,5,1,404,0,0,705,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M: 5S"
2872777,2025-02-11,17:00:50.5966667,CHN_A_PYRO_14MM_COMPRESS_STEST_11_02_25,BHIPL001,-0.78,-0.10,-0.11,-0.83,-0.18,0.02,96.51,110.54,0.27,0.00,0.00,0.18,1.23,0.00,0.28,222.79,0.07,5.93,24.09,278.91,29.80,29.20,29.20,29.10,29.80,29.80,850.90,1153.40,541.90,29.40,29.30,112.20,225.40,309.50,1723.90,3276.70,Low,Okay,Okay,Low,Okay,High,Okay,Okay,Low,Low,Low,Low,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,High,Low,Low,Low,High,High,Low,Okay,0.21,705.05,20250211-17,barani,0.00,0.00,0.00,0.00,1.00,1.00,1.00,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0,0,0,0,5,6,1,404,0,0,705,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M: 5S"
2872778,2025-02-11,17:00:51.6033333,CHN_A_PYRO_14MM_COMPRESS_STEST_11_02_25,BHIPL001,-0.78,-0.10,-0.11,-0.83,-0.13,0.02,96.51,110.54,0.27,0.00,0.00,0.24,0.98,0.00,0.25,222.79,0.06,5.97,26.04,278.91,29.80,29.20,29.20,29.00,29.80,29.90,906.30,1079.30,545.00,29.40,29.30,114.10,218.10,307.70,1716.70,3276.70,Low,Okay,Okay,Low,Okay,High,Okay,Okay,Low,Low,Low,Low,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,High,Low,Low,Low,High,High,Low,Okay,0.21,705.05,20250211-17,barani,1.00,0.00,0.00,1.00,1.00,1.00,1.00,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0,0,0,0,6,7,1,403,0,0,705,0," 0D: 0H: 0M: 1S"," 0D: 0H: 0M: 5S"
2872779,2025-02-11,17:00:52.6300000,CHN_A_PYRO_14MM_COMPRESS_STEST_11_02_25,BHIPL001,-0.78,-0.10,-0.11,-0.83,-0.13,0.02,96.51,110.54,0.28,0.00,0.00,0.21,0.89,0.00,0.23,222.79,0.07,5.97,26.69,278.91,29.80,29.20,29.20,29.10,29.70,29.80,910.50,1019.80,542.80,29.40,29.30,120.60,220.40,299.20,1736.40,3276.70,Low,Okay,Okay,Low,Okay,High,Okay,Okay,Low,Low,Low,Low,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,High,Low,Low,Low,High,High,Low,Okay,0.19,705.05,20250211-17,barani,2.00,0.00,0.00,2.00,1.00,1.00,1.00,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0,0,0,0,7,8,1,403,0,0,705,0," 0D: 0H: 0M: 2S"," 0D: 0H: 0M: 5S"
2872780,2025-02-11,17:00:53.5933333,CHN_A_PYRO_14MM_COMPRESS_STEST_11_02_25,BHIPL001,-0.78,-0.10,-0.11,-0.83,-0.13,0.02,96.51,110.54,0.24,0.00,0.00,0.20,0.81,0.00,0.21,222.79,0.07,5.97,24.09,278.91,29.70,29.10,29.20,29.00,29.70,29.70,872.80,1020.80,543.00,29.40,29.30,116.60,230.50,291.60,1749.90,3276.70,Low,Okay,Okay,Low,Okay,High,Okay,Okay,Low,Low,Low,Low,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,High,Low,Low,Low,High,High,Low,Okay,0.18,705.05,20250211-17,barani,3.00,0.00,0.00,3.00,1.00,1.00,1.00,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0,0,0,0,8,9,1,403,0,0,705,0," 0D: 0H: 0M: 3S"," 0D: 0H: 0M: 5S"
2872781,2025-02-11,17:00:54.6000000,CHN_A_PYRO_14MM_COMPRESS_STEST_11_02_25,BHIPL001,-0.78,-0.11,-0.11,-0.83,-0.13,0.02,96.51,110.54,0.24,0.00,0.00,0.18,0.78,0.00,0.21,222.79,0.07,5.97,22.79,278.91,29.70,29.10,29.10,29.00,29.60,29.70,819.90,1082.40,544.20,29.40,29.30,110.70,228.20,307.40,1718.00,3276.70,Low,Okay,Okay,Low,Okay,High,Okay,Okay,Low,Low,Low,Low,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,High,Low,Low,Low,High,High,Low,Okay,0.18,705.05,20250211-17,barani,4.00,0.00,0.00,4.00,1.00,1.00,1.00,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0,0,0,0,9,10,1,402,0,0,705,0," 0D: 0H: 0M: 4S"," 0D: 0H: 0M: 5S"
