ID,DATE1,TIME1,BATCHNO,RECEIPENAME,ACKPOSITIONCH1,ACKPOSITIONCH2,ACKPOSITIONCH3,ACKPOSITIONCH4,ACKPOSITIONCH5,ACKPOSITIONCH6,ACKPOSITIONCH7,ACKPOSITIONCH8,HYDPRESSURE1,HYDPRESSURE2,HYDPRESSURE3,HYDPRESSURE4,HYDPRESSURE5,HYDPRESSURE6,HYDPRESSURE7,HYDPRESSURE8,VOLTAGE,ICURRENT,POWER,POWERSPARE1,CWTZ01,CWTZ02,CWTZ03,CWTZ04,CWTZ05,CWTZ06,CWTZ07,CWTZ08,ANVILTEMPZ01,ANVILTEMPZ02,ANVILTEMPZ03,ANVILTEMPZ04,ANVILTEMPZ05,ANVILTEMPZ06,ANVILTEMPZ07,ANVILTEMPZ08,POSWZ01,POSWZ02,POSWZ03,POSWZ04,POSWZ05,POSWZ06,POSWZ07,POSWZ08,PRESWZ01,PRESWZ02,PRESWZ03,PRESWZ04,PRESWZ05,PRESWZ06,PRESWZ07,PRESWZ08,COOLWZ01,COOLWZ02,COOLWZ03,COOLWZ04,COOLWZ05,COOLWZ06,COOLWZ07,COOLWZ08,ANILTEMPWZ01,ANILTEMPWZ02,ANILTEMPWZ03,ANILTEMPWZ04,ANILTEMPWZ05,ANILTEMPWZ06,ANILTEMPWZ07,ANILTEMPWZ08,ACKKW,ACKKWH,RECORDREF,OPERATORNAME,STIMEMINTOTAL,STIMEHH,STIMEMM,STIMESS,ACKSTEPNO,SERVOPRESSURESSET,SERVOFLOWSET,FRONTPOSITIONSET,REARPOSITIONSET,LEFTPOSITIONSET,RIGHTPOSITIONSET,TOPPOSITIONSET,BOTTOMPOSITIONSET,DOWELSET,ACKTOTTIMEDAYS,ACKTOTALTIMEHH,ACKTOTALTIMEMM,ACKTOTALTIMESS,TOTCOUNTERTIMESS,AVGCURRENT,AVGVOLTAGE,TOTKW,TOTKVA,TOTKWH,BATCHKWH,DOWELACK1,DOWELSET1
2379811,2024-12-23,14:47:39.0400000,HPC_BI_CHN_A_23_12_24,BHIPL001,0.04,0.04,-0.03,0.04,-14.83,0.00,96.51,110.54,0.97,2.92,0.79,0.75,-0.20,0.45,0.95,222.79,0.06,6.15,9.77,278.91,29.00,28.70,28.70,28.70,29.60,29.70,-3276.80,-3276.80,29.10,29.50,29.70,29.50,-3276.80,29.20,-3276.80,-3276.80,Low,Low,Low,Low,Low,Low,Low,Okay,High,High,High,High,Okay,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.16,658.05,20241223-14,barani,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.60,2.60,2.60,2.60,2.60,0,0,0,0,0,0,1,399,0,0,658,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M: 5S"
2379812,2024-12-23,14:47:40.0333333,HPC_BI_CHN_A_23_12_24,BHIPL001,0.04,0.04,-0.04,0.04,-14.82,0.00,96.51,110.54,0.99,2.94,0.74,0.70,1.13,0.46,1.21,222.79,0.06,6.23,6.51,278.91,29.10,28.70,28.70,28.70,29.60,29.80,-3276.80,-3276.80,29.10,29.50,29.70,29.50,-3276.80,29.20,-3276.80,-3276.80,High,High,Okay,High,Low,Okay,Okay,Okay,Okay,High,Okay,Okay,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.16,658.05,20241223-14,barani,0.00,0.00,0.00,0.00,1.00,1.00,1.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,1,1,1,398,0,0,658,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
2379813,2024-12-23,14:47:40.1133333,HPC_BI_CHN_A_23_12_24,BHIPL001,0.04,0.04,-0.04,0.04,-14.82,0.00,96.51,110.54,0.99,2.94,0.74,0.70,1.13,0.46,1.21,222.79,0.06,6.23,6.51,278.91,29.10,28.70,28.70,28.70,29.60,29.80,-3276.80,-3276.80,29.10,29.50,29.70,29.50,-3276.80,29.20,-3276.80,-3276.80,High,High,Okay,High,Low,Okay,Okay,Okay,Okay,High,Okay,Okay,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.16,658.05,20241223-14,barani,0.00,0.00,0.00,0.00,1.00,1.00,1.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,1,0,1,398,0,0,658,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
2379814,2024-12-23,14:47:40.2100000,HPC_BI_CHN_A_23_12_24,BHIPL001,0.04,0.04,-0.04,0.04,-14.82,0.00,96.51,110.54,0.99,2.94,0.74,0.70,1.13,0.46,1.21,222.79,0.06,6.23,6.51,278.91,29.10,28.70,28.70,28.70,29.60,29.80,-3276.80,-3276.80,29.10,29.50,29.70,29.50,-3276.80,29.20,-3276.80,-3276.80,High,High,Okay,High,Low,Okay,Okay,Okay,Okay,High,Okay,Okay,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.16,658.05,20241223-14,barani,0.00,0.00,0.00,0.00,1.00,1.00,1.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,1,1,1,398,0,0,658,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
2379815,2024-12-23,14:47:41.0200000,HPC_BI_CHN_A_23_12_24,BHIPL001,0.04,0.04,-0.04,0.04,-14.81,0.00,96.51,110.54,1.01,2.92,0.75,0.75,0.92,0.45,1.13,222.79,0.06,6.23,7.16,278.91,29.10,28.70,28.70,28.70,29.70,29.80,-3276.80,-3276.80,29.10,29.50,29.70,29.50,-3276.80,29.20,-3276.80,-3276.80,High,High,Okay,High,Low,Okay,Okay,Okay,Okay,High,Okay,Okay,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.18,658.05,20241223-14,barani,0.00,0.00,0.00,0.00,1.00,1.00,1.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,2,2,1,400,0,0,658,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
2379816,2024-12-23,14:47:41.5533333,HPC_BI_CHN_A_23_12_24,BHIPL001,0.04,0.04,-0.04,0.04,-14.74,-0.01,96.51,110.54,1.01,2.92,0.75,0.75,0.92,0.45,1.13,222.79,0.06,6.23,7.16,278.91,29.10,28.70,28.70,28.70,29.70,29.80,-3276.80,-3276.80,29.10,29.50,29.70,29.50,-3276.80,29.20,-3276.80,-3276.80,High,High,Okay,High,Low,Okay,Okay,Okay,Okay,High,Okay,Okay,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.20,658.05,20241223-14,barani,0.00,0.00,0.00,0.00,1.00,1.00,1.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,2,1,1,400,0,0,658,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
2379817,2024-12-23,14:47:41.5700000,HPC_BI_CHN_A_23_12_24,BHIPL001,0.04,0.04,-0.04,0.04,-14.74,0.00,96.51,110.54,1.01,2.92,0.75,0.75,0.92,0.45,1.13,222.79,0.06,6.23,7.16,278.91,29.10,28.70,28.70,28.70,29.70,29.80,-3276.80,-3276.80,29.10,29.50,29.70,29.50,-3276.80,29.20,-3276.80,-3276.80,High,High,Okay,High,Low,Okay,Okay,Okay,Okay,High,Okay,Okay,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.20,658.05,20241223-14,barani,0.00,0.00,0.00,0.00,1.00,1.00,1.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,2,2,1,400,0,0,658,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
2379818,2024-12-23,14:47:42.0400000,HPC_BI_CHN_A_23_12_24,BHIPL001,0.04,0.04,-0.04,0.04,-14.72,-0.02,96.51,110.54,0.99,2.88,0.78,0.73,0.90,0.43,1.12,222.79,0.07,6.23,5.21,278.91,29.10,28.70,28.70,28.70,29.70,29.80,-3276.80,-3276.80,29.10,29.50,29.70,29.50,-3276.80,29.20,-3276.80,-3276.80,High,High,Okay,High,Low,Okay,Okay,Okay,Okay,High,Okay,Okay,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.20,658.05,20241223-14,barani,0.00,0.00,0.00,0.00,1.00,1.00,1.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,3,3,1,400,0,1,658,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
2379819,2024-12-23,14:47:43.0633333,HPC_BI_CHN_A_23_12_24,BHIPL001,0.04,0.04,-0.04,0.04,-14.73,0.00,96.51,110.54,0.98,2.92,0.78,0.74,0.91,0.45,1.13,222.79,0.06,6.12,7.16,278.91,29.10,28.70,28.70,28.70,29.70,29.80,-3276.80,-3276.80,29.10,29.50,29.70,29.50,-3276.80,29.20,-3276.80,-3276.80,High,High,Okay,High,Low,Okay,Okay,Okay,Okay,High,Okay,Okay,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.20,658.05,20241223-14,barani,0.00,0.00,0.00,0.00,1.00,1.00,1.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,4,4,1,398,0,1,658,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
2379820,2024-12-23,14:47:44.0566667,HPC_BI_CHN_A_23_12_24,BHIPL001,0.04,0.04,-0.04,0.04,-14.66,0.00,96.51,110.54,1.00,2.89,0.77,0.70,0.92,0.43,1.12,222.79,0.07,6.26,4.56,278.91,29.10,28.70,28.70,28.70,29.70,29.80,-3276.80,-3276.80,29.10,29.50,29.70,29.50,-3276.80,29.20,-3276.80,-3276.80,High,High,Okay,High,Low,Okay,Okay,Okay,Okay,High,Okay,Okay,Okay,Low,High,Low,Low,Low,Low,Low,Low,Low,Okay,High,Low,Low,Low,Low,Low,Low,Low,Okay,0.20,658.05,20241223-14,barani,0.00,0.00,0.00,0.00,1.00,1.00,1.00,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,0,0,0,0,5,5,1,398,0,1,658,0," 0D: 0H: 0M: 0S"," 0D: 0H: 0M:10S"
