Timestamp,Pressure (bar),Voltage (V),Resistance (ohms)
11-11-2024 15:42,0,1.15E-05,0.022957615
11-11-2024 15:48,1.2,1.19E-05,0.023844918
11-11-2024 15:52,1.3,1.10E-06,0.002198004
11-11-2024 15:56,1.5,1.87E-06,0.003737865
11-11-2024 15:59,1.7,1.68E-06,0.003365423
,,,
,,,
,,,
,,,
,,,
12-11-2024 16:45,0,1.01E-05,0.020287706
12-11-2024 16:51,1,1.70E-05,0.034022524
12-11-2024 16:53,1.7,1.83E-05,0.036562015
12-11-2024 17:01,2,1.77E-05,0.035356836
12-11-2024 17:07,2.5,1.71E-05,0.034262815
12-11-2024 17:11,2.7,1.72E-05,0.034407052
12-11-2024 17:33,3.1,1.76E-05,0.035296448
12-11-2024 17:43,4.5,1.81E-05,0.036215956
12-11-2024 17:46,4.7,1.82E-05,0.036308357
12-11-2024 17:52,6.4,1.99E-05,0.039786119
12-11-2024 17:56,7.5,3.32E-05,0.066360744
12-11-2024 18:02,8.5,4.12E-05,0.082383475
12-11-2024 18:03,10.6,4.02E-05,0.080479662
12-11-2024 18:05,14,4.31E-05,0.086286823
12-11-2024 18:06,15.4,4.41E-05,0.088285642
12-11-2024 18:08,16.5,4.35E-05,0.087024779
12-11-2024 18:09,18,4.45E-05,0.088962217
12-11-2024 18:11,20,4.56E-05,0.091103857
12-11-2024 18:13,22,4.40E-05,0.088031463
12-11-2024 18:15,23.5,4.53E-05,0.090658068
12-11-2024 18:18,28,4.75E-05,0.094997045
12-11-2024 18:20,30,4.76E-05,0.095178695
12-11-2024 18:23,34,4.76E-05,0.095178458
12-11-2024 18:26,39,4.99E-05,0.09988126
12-11-2024 18:27,42,4.96E-05,0.099174456
12-11-2024 18:30,47,5.12E-05,0.102474431
12-11-2024 18:37,52,5.03E-05,0.100554674
12-11-2024 18:40,63,5.03E-05,0.100628058
12-11-2024 18:43,72,4.99E-05,0.099826746
12-11-2024 18:46,79,4.97E-05,0.099315746
12-11-2024 18:48,87,4.99E-05,0.09980405
12-11-2024 18:49,91,4.96E-05,0.099172091
12-11-2024 18:51,96,4.98E-05,0.099556952
12-11-2024 18:53,103,5.00E-05,0.099984587
12-11-2024 18:55,107,5.03E-05,0.100514318
12-11-2024 19:02,108,4.99E-05,0.099749708
12-11-2024 19:02,109,5.00E-05,0.100023899
12-11-2024 19:03,110,5.00E-05,0.099960696
12-11-2024 19:04,111,4.97E-05,0.099448731
12-11-2024 19:04,112,5.01E-05,0.10012244
12-11-2024 19:05,113,5.02E-05,0.10043317
12-11-2024 19:05,115,5.04E-05,0.100726195
12-11-2024 19:05,117,5.03E-05,0.100522488
12-11-2024 19:06,118,5.00E-05,0.100063518
12-11-2024 19:06,119,5.02E-05,0.100336248
12-11-2024 19:07,120,4.98E-05,0.09956781
12-11-2024 19:07,121,4.99E-05,0.099807083
12-11-2024 19:08,122,5.01E-05,0.100196404
12-11-2024 19:09,123,4.99E-05,0.099752236
12-11-2024 19:09,124,5.00E-05,0.099958313
12-11-2024 19:09,125,5.00E-05,0.10008524
12-11-2024 19:10,127,4.98E-05,0.09966603
12-11-2024 19:10,128,5.01E-05,0.100244185
12-11-2024 19:11,130,4.98E-05,0.099614807
12-11-2024 19:11,132,4.99E-05,0.099860052
12-11-2024 19:12,134,4.99E-05,0.099746506
12-11-2024 19:12,136,5.01E-05,0.100259763
12-11-2024 19:13,140,4.96E-05,0.099211575
12-11-2024 19:15,142,5.38E-05,0.107516211
12-11-2024 19:16,144,4.91E-05,0.098145229
12-11-2024 19:20,146,4.85E-05,0.09707959
12-11-2024 19:20,147,4.89E-05,0.097757316
12-11-2024 19:20,148,4.89E-05,0.097838083
12-11-2024 19:21,149,4.91E-05,0.098122426
12-11-2024 19:21,151,4.84E-05,0.096720026
12-11-2024 19:22,153,4.87E-05,0.097424807
12-11-2024 19:22,155,4.83E-05,0.096606528
12-11-2024 19:22,157,4.82E-05,0.096481429
12-11-2024 19:23,160,4.76E-05,0.095164014
12-11-2024 19:23,162,4.61E-05,0.092200874
12-11-2024 19:24,163,4.54E-05,0.090882481
12-11-2024 19:24,164,4.51E-05,0.090230803
12-11-2024 19:24,165,4.46E-05,0.089197041
12-11-2024 19:25,166,4.35E-05,0.087055048
12-11-2024 19:25,167,4.25E-05,0.084949043
12-11-2024 19:26,168,4.09E-05,0.081753146
12-11-2024 19:26,169,4.06E-05,0.081212857
12-11-2024 19:27,170,3.98E-05,0.079631545
12-11-2024 19:27,172,3.89E-05,0.07784732
12-11-2024 19:27,172,3.86E-05,0.07711807
12-11-2024 19:28,172,3.84E-05,0.076893711
12-11-2024 19:28,172,3.79E-05,0.075837528
12-11-2024 19:28,172,3.75E-05,0.074920247
12-11-2024 19:29,172,3.72E-05,0.074305631
12-11-2024 19:29,172,3.68E-05,0.073683002
12-11-2024 19:30,172,3.63E-05,0.072646112
12-11-2024 19:32,172,3.24E-05,0.064719885
12-11-2024 19:33,172,3.56E-05,0.071232727
12-11-2024 19:35,172,3.52E-05,0.070471239
12-11-2024 19:38,174,3.45E-05,0.069068253
