Timestamp,Load Pressure (bar),Voltage (V),Resistance (ohm)
2025-02-04 18:03:22,0.6,3.90881697e-06,0.00781761830476339
2025-02-04 18:03:58,2.0,3.6956103440000005e-06,0.007391205905588189
2025-02-04 18:04:15,3.3,3.7496684690000006e-06,0.007499321939356122
2025-02-04 18:04:28,0.0,3.773268045e-06,0.007546520996958006
2025-02-04 18:05:13,2.5,4.29864464e-06,0.008597272085455828
2025-02-04 18:06:25,3.0,4.501689405e-06,0.009003360803278394
2025-02-04 18:07:07,3.5,4.491758029e-06,0.008983498091003817
2025-02-04 18:07:47,5.0,4.541460961e-06,0.009082903756192487
2025-02-04 18:08:11,5.0,4.656570859e-06,0.009313123091753816
2025-02-04 18:08:31,6.0,4.930186742e-06,0.009860353763292473
2025-02-04 18:09:01,7.0,5.065205117e-06,0.010130389973220053
2025-02-04 18:09:35,8.5,5.023735348e-06,0.010047450601098797
2025-02-04 18:09:49,10.0,5.05462223e-06,0.010109224241551517
2025-02-04 18:10:26,12.0,5.04979615e-06,0.010099572100855799
2025-02-04 18:11:08,16.0,5.279434411e-06,0.010558847704304592
2025-02-04 18:11:33,18.0,5.244120955e-06,0.010488220933558133
2025-02-04 18:12:17,21.0,5.501603244e-06,0.011003184481631036
2025-02-04 18:12:43,27.0,5.642793298e-06,0.01128556402487195
2025-02-04 18:14:24,31.0,5.571458515e-06,0.011142894744210511
2025-02-04 18:14:43,36.0,5.670480128e-06,0.01134093757412485
2025-02-04 18:15:03,41.0,5.795949747000001e-06,0.01159187631024738
2025-02-04 18:15:27,46.0,5.8600016019999995e-06,0.01171997976404047
2025-02-04 18:15:44,51.0,6.007449294000001e-06,0.012014874558250885
2025-02-04 18:16:05,56.0,6.067822180000001e-06,0.012135620088759824
2025-02-04 18:16:22,61.0,6.166154311000001e-06,0.012332283957432086
2025-02-04 18:16:42,66.0,6.206866502e-06,0.012413708176583646
2025-02-04 18:17:02,70.0,6.264498791e-06,0.012528972524054952
2025-02-04 18:17:20,75.0,6.346827209000001e-06,0.01269362903074194
2025-02-04 18:17:38,81.0,6.432140575e-06,0.012864255421489156
2025-02-04 18:18:01,85.0,6.418484529999999e-06,0.012836943386113225
2025-02-04 18:18:16,91.0,6.4640574689999994e-06,0.012928089081821834
2025-02-04 18:18:59,96.0,6.329073493e-06,0.012658121669756661
2025-02-04 18:19:15,100.0,6.336960153e-06,0.012673894958210084
2025-02-04 18:19:30,105.0,6.353992495e-06,0.012707959574080852
2025-02-04 18:20:51,110.0,6.177724518e-06,0.01235542432515135
2025-02-04 18:21:15,115.0,6.166357338e-06,0.012332690010619977
2025-02-04 18:21:34,120.0,6.227577727e-06,0.012455130543738912
2025-02-04 18:22:00,125.0,6.229294965e-06,0.012458565012869974
2025-02-04 18:22:18,130.0,6.325526715e-06,0.012651028127943744
2025-02-04 18:22:37,135.0,6.285393423e-06,0.012570761704476591
2025-02-04 18:22:56,140.0,6.388700465e-06,0.012777375375249249
2025-02-04 18:23:16,145.0,6.378329058e-06,0.012756632602734793
2025-02-04 18:23:34,150.0,6.446261340999999e-06,0.012892496897006204
2025-02-04 18:23:51,155.0,6.447376956e-06,0.012894728122543754
2025-02-04 18:24:06,160.0,6.4661011280000005e-06,0.012932176391647216
2025-02-04 18:24:25,165.0,6.414520505e-06,0.012829015351969297
2025-02-04 18:24:57,175.0,6.420331967999999e-06,0.012840638254723489
2025-02-04 18:25:20,180.0,6.286972774e-06,0.012573920400159198
2025-02-04 18:25:38,185.0,5.953342714000001e-06,0.011906661614676772
2025-02-04 18:25:59,190.0,5.649898377e-06,0.011299774154451691
2025-02-04 18:26:22,195.0,4.655508478e-06,0.009310998334003331
2025-02-04 18:27:19,200.0,3.48258293e-06,0.0069651519296961405
